epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4535.49,1.61694,1.39664,1.54214,0.79986,0.75862,0.91373,0.42232,1.78445,1.04198,1.38075,0.000548,0.000548,0.000548
57,4612.61,1.56692,1.35185,1.52167,0.67393,0.90613,0.87423,0.36734,1.96159,1.08123,1.46099,0.0005216,0.0005216,0.0005216
58,4689.18,1.57783,1.37817,1.52948,0.69005,0.95567,0.90017,0.43625,1.77109,1.02199,1.35688,0.0004952,0.0004952,0.0004952
59,4765.99,1.54549,1.32421,1.49307,0.65031,0.97537,0.88126,0.40803,1.85854,1.0543,1.42512,0.0004688,0.0004688,0.0004688
60,4842.9,1.58045,1.32156,1.50311,0.67925,0.93103,0.88795,0.40263,1.82178,1.01299,1.40087,0.0004424,0.0004424,0.0004424
61,4919.44,1.54444,1.30464,1.48531,0.63508,0.94302,0.85096,0.34773,1.98994,1.0982,1.48228,0.000416,0.000416,0.000416
62,4996.34,1.53641,1.34329,1.50102,0.64295,0.93103,0.85203,0.35316,1.98208,1.11253,1.45365,0.0003896,0.0003896,0.0003896
63,5077.83,1.53763,1.30083,1.48039,0.65003,0.95567,0.86336,0.36857,1.9039,1.08232,1.42113,0.0003632,0.0003632,0.0003632
64,5160.34,1.54666,1.32249,1.49877,0.68243,0.9739,0.88788,0.41325,1.80457,0.99324,1.37091,0.0003368,0.0003368,0.0003368
65,5242.87,1.5373,1.31568,1.49235,0.6727,0.97197,0.88597,0.37877,1.92636,1.06065,1.44599,0.0003104,0.0003104,0.0003104
66,5324.4,1.42845,1.21799,1.5123,0.76955,0.95411,0.93527,0.5295,1.44558,0.89092,1.21012,0.000284,0.000284,0.000284
67,5410.59,1.42035,1.21458,1.49095,0.68007,0.9803,0.90045,0.44413,1.68611,0.99015,1.32523,0.0002576,0.0002576,0.0002576
68,5495.2,1.4381,1.19211,1.50676,0.88324,0.81773,0.93219,0.55715,1.34368,0.86564,1.17628,0.0002312,0.0002312,0.0002312
69,5587.25,1.42439,1.19983,1.50336,0.70309,0.95654,0.9227,0.49512,1.5328,0.94634,1.2506,0.0002048,0.0002048,0.0002048
70,5673.35,1.407,1.19242,1.4871,0.76671,0.91626,0.93609,0.55549,1.38973,0.86187,1.20496,0.0001784,0.0001784,0.0001784
71,5759.62,1.40341,1.17277,1.48364,0.87361,0.87685,0.94954,0.6042,1.29123,0.81314,1.16011,0.000152,0.000152,0.000152
72,5842.21,1.4188,1.19012,1.49276,0.85474,0.86956,0.9421,0.59337,1.3029,0.82465,1.16237,0.0001256,0.0001256,0.0001256
73,5931.12,1.40183,1.1595,1.48027,0.84752,0.90355,0.95453,0.60537,1.26089,0.79469,1.14601,9.92e-05,9.92e-05,9.92e-05
74,6020.53,1.41313,1.18908,1.4896,0.85708,0.9064,0.95639,0.58669,1.31665,0.80036,1.1702,7.28e-05,7.28e-05,7.28e-05
75,6104.55,1.39853,1.15677,1.47736,0.86892,0.87192,0.95458,0.58977,1.31568,0.80941,1.16767,4.64e-05,4.64e-05,4.64e-05
